                                                                                                                                                                                             
{'loss': '2.66', 'grad_norm': '2.571', 'learning_rate': '6e-06', 'entropy': '1.079', 'num_tokens': '4.471e+04', 'mean_token_accuracy': '0.595', 'epoch': '0.02286'}
{'loss': '2.242', 'grad_norm': '1.584', 'learning_rate': '1.267e-05', 'entropy': '1.184', 'num_tokens': '9.205e+04', 'mean_token_accuracy': '0.6067', 'epoch': '0.04571'}
{'loss': '1.872', 'grad_norm': '0.6597', 'learning_rate': '1.933e-05', 'entropy': '1.367', 'num_tokens': '1.35e+05', 'mean_token_accuracy': '0.6351', 'epoch': '0.06857'}
{'loss': '1.408', 'grad_norm': '0.6151', 'learning_rate': '2.6e-05', 'entropy': '1.334', 'num_tokens': '1.842e+05', 'mean_token_accuracy': '0.6868', 'epoch': '0.09143'}
{'loss': '1.025', 'grad_norm': '0.5187', 'learning_rate': '3.267e-05', 'entropy': '1.122', 'num_tokens': '2.313e+05', 'mean_token_accuracy': '0.7581', 'epoch': '0.1143'}
{'loss': '0.7524', 'grad_norm': '0.1704', 'learning_rate': '3.933e-05', 'entropy': '0.796', 'num_tokens': '2.796e+05', 'mean_token_accuracy': '0.827', 'epoch': '0.1371'}
{'loss': '0.7315', 'grad_norm': '0.1815', 'learning_rate': '4.6e-05', 'entropy': '0.7589', 'num_tokens': '3.211e+05', 'mean_token_accuracy': '0.8334', 'epoch': '0.16'}
{'loss': '0.6667', 'grad_norm': '0.159', 'learning_rate': '5.267e-05', 'entropy': '0.6957', 'num_tokens': '3.645e+05', 'mean_token_accuracy': '0.8446', 'epoch': '0.1829'}
{'loss': '0.6407', 'grad_norm': '0.1956', 'learning_rate': '5.933e-05', 'entropy': '0.6671', 'num_tokens': '4.099e+05', 'mean_token_accuracy': '0.8515', 'epoch': '0.2057'}
{'loss': '0.5255', 'grad_norm': '0.2085', 'learning_rate': '6.6e-05', 'entropy': '0.5611', 'num_tokens': '4.55e+05', 'mean_token_accuracy': '0.8711', 'epoch': '0.2286'}
{'loss': '0.4554', 'grad_norm': '0.2255', 'learning_rate': '7.267e-05', 'entropy': '0.5135', 'num_tokens': '5.021e+05', 'mean_token_accuracy': '0.8837', 'epoch': '0.2514'}
{'loss': '0.4159', 'grad_norm': '0.3823', 'learning_rate': '7.933e-05', 'entropy': '0.4424', 'num_tokens': '5.482e+05', 'mean_token_accuracy': '0.8958', 'epoch': '0.2743'}
{'loss': '0.3415', 'grad_norm': '0.3123', 'learning_rate': '8.6e-05', 'entropy': '0.3575', 'num_tokens': '5.957e+05', 'mean_token_accuracy': '0.9185', 'epoch': '0.2971'}
{'loss': '0.3419', 'grad_norm': '0.4464', 'learning_rate': '9.267e-05', 'entropy': '0.3773', 'num_tokens': '6.374e+05', 'mean_token_accuracy': '0.9165', 'epoch': '0.32'}
{'loss': '0.2847', 'grad_norm': '0.3586', 'learning_rate': '9.933e-05', 'entropy': '0.3095', 'num_tokens': '6.8e+05', 'mean_token_accuracy': '0.9289', 'epoch': '0.3429'}
{'loss': '0.2557', 'grad_norm': '0.3091', 'learning_rate': '0.000106', 'entropy': '0.269', 'num_tokens': '7.22e+05', 'mean_token_accuracy': '0.9379', 'epoch': '0.3657'}
{'loss': '0.2213', 'grad_norm': '0.3269', 'learning_rate': '0.0001127', 'entropy': '0.2432', 'num_tokens': '7.687e+05', 'mean_token_accuracy': '0.9436', 'epoch': '0.3886'}
{'loss': '0.1899', 'grad_norm': '0.2964', 'learning_rate': '0.0001193', 'entropy': '0.2222', 'num_tokens': '8.146e+05', 'mean_token_accuracy': '0.949', 'epoch': '0.4114'}
{'loss': '0.1698', 'grad_norm': '0.2656', 'learning_rate': '0.000126', 'entropy': '0.2035', 'num_tokens': '8.604e+05', 'mean_token_accuracy': '0.9553', 'epoch': '0.4343'}
{'loss': '0.1546', 'grad_norm': '0.2383', 'learning_rate': '0.0001327', 'entropy': '0.1737', 'num_tokens': '9.072e+05', 'mean_token_accuracy': '0.9588', 'epoch': '0.4571'}
