                                                                                                                                                                              
{'loss': '2.329', 'grad_norm': '2.514', 'learning_rate': '6e-06', 'entropy': '1.001', 'num_tokens': '4.119e+04', 'mean_token_accuracy': '0.5964', 'epoch': '0.02286'}
{'loss': '1.903', 'grad_norm': '1.122', 'learning_rate': '1.267e-05', 'entropy': '1.067', 'num_tokens': '8.498e+04', 'mean_token_accuracy': '0.6431', 'epoch': '0.04571'}
{'loss': '1.617', 'grad_norm': '0.5491', 'learning_rate': '1.933e-05', 'entropy': '1.239', 'num_tokens': '1.245e+05', 'mean_token_accuracy': '0.6784', 'epoch': '0.06857'}
{'loss': '1.27', 'grad_norm': '0.4016', 'learning_rate': '2.6e-05', 'entropy': '1.317', 'num_tokens': '1.702e+05', 'mean_token_accuracy': '0.7216', 'epoch': '0.09143'}
{'loss': '1.075', 'grad_norm': '0.4286', 'learning_rate': '3.267e-05', 'entropy': '1.133', 'num_tokens': '2.139e+05', 'mean_token_accuracy': '0.7596', 'epoch': '0.1143'}
{'loss': '0.8881', 'grad_norm': '0.2913', 'learning_rate': '3.933e-05', 'entropy': '0.9475', 'num_tokens': '2.587e+05', 'mean_token_accuracy': '0.7942', 'epoch': '0.1371'}
{'loss': '0.8279', 'grad_norm': '0.2485', 'learning_rate': '4.6e-05', 'entropy': '0.8715', 'num_tokens': '2.97e+05', 'mean_token_accuracy': '0.8106', 'epoch': '0.16'}
{'loss': '0.7491', 'grad_norm': '0.2006', 'learning_rate': '5.267e-05', 'entropy': '0.7844', 'num_tokens': '3.37e+05', 'mean_token_accuracy': '0.8264', 'epoch': '0.1829'}
{'loss': '0.7351', 'grad_norm': '0.2149', 'learning_rate': '5.933e-05', 'entropy': '0.76', 'num_tokens': '3.791e+05', 'mean_token_accuracy': '0.8311', 'epoch': '0.2057'}
{'loss': '0.6171', 'grad_norm': '0.2199', 'learning_rate': '6.6e-05', 'entropy': '0.6744', 'num_tokens': '4.206e+05', 'mean_token_accuracy': '0.8512', 'epoch': '0.2286'}
{'loss': '0.5412', 'grad_norm': '0.2426', 'learning_rate': '7.267e-05', 'entropy': '0.6073', 'num_tokens': '4.643e+05', 'mean_token_accuracy': '0.8655', 'epoch': '0.2514'}
{'loss': '0.5079', 'grad_norm': '0.3441', 'learning_rate': '7.933e-05', 'entropy': '0.538', 'num_tokens': '5.07e+05', 'mean_token_accuracy': '0.8762', 'epoch': '0.2743'}
